Operation,Time(ms)
User Create,58,694
User Read,74,005
Function Create,130,242
Function Read,166,401
Point Create,303,183
Points Read,155,656
Batch Create (100 points),7943,628
Get All Users,182,195
Get All Functions,98,819
Search Users,62,551
Search Functions,69,540
