Operation,Time(ms)
User Create,83,984
User Read,81,109
Function Create,166,962
Function Read,76,746
Point Create,245,070
Points Read,76,930
Batch Create (100 points),9362,449
Get All Users,84,051
Get All Functions,133,002
Search Users,81,875
Search Functions,82,080
