Operation,Time(ms)
User Create,111,377
User Read,121,622
Function Create,225,304
Function Read,119,735
Point Create,470,309
Points Read,108,640
Batch Create (100 points),13121,009
Get All Users,134,524
Get All Functions,189,880
Search Users,128,619
Search Functions,227,982
