Operation,Time(ms)
User Create,59,062
User Read,62,172
Function Create,118,818
Function Read,55,013
Point Create,167,115
Points Read,55,752
Batch Create (100 points),7099,010
Get All Users,160,369
Get All Functions,89,435
Search Users,52,559
Search Functions,167,870
