Operation,Time(ms)
User Create,59,821
User Read,55,832
Function Create,108,345
Function Read,164,665
Point Create,168,383
Points Read,54,408
Batch Create (100 points),6832,886
Get All Users,59,323
Get All Functions,83,412
Search Users,56,467
Search Functions,57,026
