Operation,Time(ms)
User Create,63,337
User Read,71,514
Function Create,227,799
Function Read,60,760
Point Create,276,626
Points Read,61,374
Batch Create (100 points),7296,388
Get All Users,70,502
Get All Functions,105,822
Search Users,70,349
Search Functions,74,168
