Operation,Time(ms)
User Create,66,105
User Read,66,797
Function Create,228,228
Function Read,74,502
Point Create,296,491
Points Read,68,184
Batch Create (100 points),7958,417
Get All Users,175,482
Get All Functions,211,601
Search Users,63,760
Search Functions,70,766
