Operation,Time(ms)
User Create,80,878
User Read,93,686
Function Create,157,995
Function Read,88,980
Point Create,241,565
Points Read,83,499
Batch Create (100 points),9258,067
Get All Users,83,241
Get All Functions,135,704
Search Users,79,827
Search Functions,78,638
