Operation,Time(ms)
User Create,103,071
User Read,80,176
Function Create,159,586
Function Read,88,450
Point Create,239,809
Points Read,80,279
Batch Create (100 points),9586,831
Get All Users,91,033
Get All Functions,127,946
Search Users,85,077
Search Functions,94,793
